OID_,OBJECTID,station_na,fuel_type_,status_cod,street_add,city,st_prv_cod,zip,station_ph,access_day,groups_wit,cards_acce,longitude,latitude
281,25091,QCOM,ELEC,AVBL,10105 Pacific Heights Blvd,San Diego,CA,92121,888-758-4389,24 hours daily,Public, ,-117.192532000000000,32.903692999999997
282,25092,QCOM,ELEC,AVBL,10145 Pacific Center Blvd,San Diego,CA,92121,888-758-4389,24 hours daily,Public, ,-117.192764400000002,32.903400900000001
283,25093,QCOM,ELEC,AVBL,5775 Morehouse Dr,San Diego,CA,92121,888-758-4389,24 hours daily,Public, ,-117.195611999999997,32.897117999999999
284,25095,QCOM,ELEC,AVBL,5585 Morehouse Dr,San Diego,CA,92121,888-758-4389,24 hours daily,Public, ,-117.195255000000003,32.895980999999999
285,25096,QCOM,ELEC,AVBL,5665 Morehouse Dr,San Diego,CA,92121,888-758-4389,24 hours daily,Public, ,-117.197053999999994,32.895657999999997
286,25106,DC CORRIDOR,ELEC,AVBL,1842 Fort Jones Rd,Yreka,CA,96097,888-758-4389,24 hours daily,Public, ,-122.644295999999997,41.700493999999999
287,25118,DC CORRIDOR,ELEC,AVBL,1844 Shastina Dr,Weed,CA,96094,888-758-4389,24 hours daily,Public, ,-122.380070000000003,41.399268999999997
288,25120,UCSD,ELEC,AVBL,Osler Parking Structure Osler Lane,La Jolla,CA,92092,888-758-4389,24 hours daily,Public, ,-117.236502700000003,32.873097199999997
289,25140,UCSD,ELEC,AVBL,270 Muir Ln,San Diego,CA,92161,888-758-4389,24 hours daily,Public, ,-117.239886600000006,32.879304599999998
290,25152,PARKING STRUCT,ELEC,AVBL,10 Parker Pl,Aliso Viejo,CA,92656,888-758-4389,24 hours daily,Public, ,-117.731556499999996,33.583456800000000
291,25156,UCSD,ELEC,AVBL,Osler Parking Structure Osler Lane,San Diego,CA,92161,888-758-4389,24 hours daily,Public, ,-117.236785299999994,32.874388799999998
292,25207,IRVINE  CO  OFC,ELEC,AVBL,520 Technology,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.761517299999994,33.673322800000001
293,25208,IRVINE  CO  OFC,ELEC,AVBL,15244 Sand Canyon Ave,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.762433999999999,33.672936000000000
294,25209,IRVINE  CO  OFC,ELEC,AVBL,510 Technology,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.759732700000001,33.673179800000000
295,25210,IRVINE  CO  OFC,ELEC,AVBL,Technology Dr,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.759669500000001,33.673242999999999
296,25211,IRVINE  CO  OFC,ELEC,AVBL,500 Technology,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.759011700000002,33.674415000000003
297,25214,QCOM,ELEC,AVBL,10198 McKellar Ct,San Diego,CA,92121,888-758-4389,24 hours daily,Public, ,-117.201282000000006,32.903834000000003
298,25225,IRVINE  CO  OFC,ELEC,AVBL,4835 Eastgate Mall,San Diego,CA,92121,888-758-4389,24 hours daily,Public, ,-117.203045000000003,32.879488000000002
299,25242,LEASING STATION,ELEC,AVBL,309 Solana Hills Dr,Solana Beach,CA,92075,888-758-4389,24 hours daily,Public, ,-117.259455799999998,32.997272600000002
300,25245,CARLSBAD CA,ELEC,AVBL,3209 Harding St,Carlsbad,CA,92008,888-758-4389,24 hours daily,Public, ,-117.342644000000007,33.158967300000000
301,25251,23046 AVENIDA,ELEC,AVBL,23046 Avenida De La Carlota,Laguna Hills,CA,92653,888-758-4389,24 hours daily,Public, ,-117.721924000000001,33.627622000000002
302,25253,IRVINE  CO  OFC,ELEC,AVBL,530 Technology,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.760338000000004,33.674376000000002
303,25256,ESQUIRE PLAZA,ELEC,AVBL,1215 K St,Sacramento,CA,95814,888-758-4389,24 hours daily,Public, ,-121.489885999999998,38.578474000000000
304,25272,3841 N FREEWAY,ELEC,AVBL,3841 N Freeway Blvd,Sacramento,CA,95834,888-758-4389,24 hours daily,Public, ,-121.486015800000004,38.641741199999998
305,25273,CIVIC CENTER,ELEC,AVBL,1050 Camino Del Mar,Del Mar,CA,92014,888-758-4389,24 hours daily,Public, ,-117.264104599999996,32.955108099999997
306,25277,IRVINE  CO  OFC,ELEC,AVBL,510 Technology Dr,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.759832200000005,33.673334699999998
307,25280,IRVINE  CO  OFC,ELEC,AVBL,22195 Irvine Center Dr,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.747431599999999,33.649872400000000
308,25284,CIVIC CENTER,ELEC,AVBL,227 11th St,Del Mar,CA,92014,888-758-4389,24 hours daily,Public, ,-117.264080800000002,32.955007999999999
309,25301,VALENCIA,ELEC,AVBL,24201 Town Center Dr,Santa Clarita,CA,91355,888-758-4389,24 hours daily,Public, ,-118.557654999999997,34.415363999999997
310,25306,VALENCIA,ELEC,AVBL,24201 Valencia Blvd,Santa Clarita,CA,91355,888-758-4389,24 hours daily,Public, ,-118.559341599999996,34.415564000000003
311,25407,SF CITY EV,ELEC,AVBL,1004-1030 Celis St,San Fernando,CA,91340,888-758-4389,24 hours daily,Public, ,-118.441884799999997,34.281682600000003
312,25408,SF CITY EV,ELEC,AVBL,712-740 Truman St,San Fernando,CA,91340,888-758-4389,24 hours daily,Public, ,-118.438480200000001,34.280424799999999
313,25409,SF CITY EV,ELEC,AVBL,1120 Truman St,San Fernando,CA,91340,888-758-4389,24 hours daily,Public, ,-118.441990300000001,34.284055400000000
314,25410,SF CITY EV,ELEC,AVBL,111 N Macneil St,San Fernando,CA,91340,888-758-4389,24 hours daily,Public, ,-118.439027899999999,34.284155200000001
315,25411,SF CITY EV,ELEC,AVBL,942-1060 Truman St,San Fernando,CA,91340,888-758-4389,24 hours daily,Public, ,-118.440409200000005,34.282568800000000
316,25415,520 CAPITOL MAL,ELEC,AVBL,520 Capitol Mall,Sacramento,CA,95814,888-758-4389,24 hours daily,Public, ,-121.500937199999996,38.577911499999999
317,25418,PARKING STRUCT,ELEC,AVBL,10 Enterprise,Aliso Viejo,CA,92656,888-758-4389,24 hours daily,Public, ,-117.731478999999993,33.583351000000000
318,25442,500 J SAWYER GA,ELEC,AVBL,1007 6th St,Sacramento,CA,95814,888-758-4389,24 hours daily,Public, ,-121.498688999999999,38.581356999999997
319,25444,500 J SAWYER GA,ELEC,AVBL,560 J St,Sacramento,CA,95814,888-758-4389,24 hours daily,Public, ,-121.498791999999995,38.581530000000001
320,25454,500 J SAWYER GA,ELEC,AVBL,558-598 J St,Sacramento,CA,95814,888-758-4389,24 hours daily,Public, ,-121.499249599999999,38.581808899999999
321,25461,ASTON POINT,ELEC,AVBL,1800 Aston Ave,Carlsbad,CA,92008,888-758-4389,24 hours daily,Public, ,-117.291404000000000,33.131464000000001
322,25465,UCSD,ELEC,AVBL,John Jay Hopkins Dr Scholars Dr N,San Diego,CA,92093,888-758-4389,24 hours daily,Public, ,-117.241287600000007,32.887164400000003
323,25468,UCSD,ELEC,AVBL,9500 Gilman Dr,San Diego,CA,92037,888-758-4389,24 hours daily,Public, ,-117.234677599999998,32.876473799999999
324,25469,UCSD,ELEC,AVBL,Voigt Lane Hopkins Drive,San Diego,CA,92093,888-758-4389,24 hours daily,Public, ,-117.239136900000005,32.883567100000000
325,25473,UCSD,ELEC,AVBL,Pangea Parking Structure Scholars Dr N,San Diego,CA,92037,888-758-4389,24 hours daily,Public, ,-117.243063300000003,32.884503400000000
326,25485,UCSD,ELEC,AVBL,Voigt Ln,San Diego,CA,92161,888-758-4389,24 hours daily,Public, ,-117.239324600000003,32.883540000000004
327,25486,UCSD,ELEC,AVBL,Hopkins Drive,San Diego,CA,92093,888-758-4389,24 hours daily,Public, ,-117.239141599999996,32.883535700000003
328,25487,UCSD,ELEC,AVBL,9577 Gilman Dr,San Diego,CA,92161,888-758-4389,24 hours daily,Public, ,-117.234483699999998,32.876491500000000
329,25513,DC CORRIDOR,ELEC,AVBL,1280 Dana Dr,Redding,CA,96003,888-758-4389,24 hours daily,Public, ,-122.348823400000001,40.586220300000001
330,25518,CARLSBAD CA,ELEC,AVBL,3021 State St,Carlsbad,CA,92008,888-758-4389,24 hours daily,Public, ,-117.348484200000001,33.159026799999999
331,25533,CUEV,ELEC,AVBL,9401 Jeronimo Rd,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.717680500000000,33.650564199999998
332,25542,MASTER ACCOUNT,ELEC,AVBL,28494 Westinghouse Pl,Valencia,CA,91355,888-758-4389,24 hours daily,Public, ,-118.598517700000002,34.442890700000000
333,25543,TMB,ELEC,AVBL,525 Park Ave,San Fernando,CA,91340,888-758-4389,24 hours daily,Public, ,-118.430105999999995,34.284635999999999
334,25548,UTC,ELEC,AVBL,4545 La Jolla Village Dr,San Diego,CA,92122,888-758-4389,24 hours daily,Public, ,-117.210044999999994,32.873348999999997
335,25575,CCC,ELEC,AVBL,2860 Gateway Oaks Dr,Sacramento,CA,95833,888-758-4389,24 hours daily,Public, ,-121.518423499999997,38.622235500000002
336,25576,QCOM,ELEC,AVBL,4243 Campus Point Ct,San Diego,CA,92121,888-758-4389,24 hours daily,Public, ,-117.226105000000004,32.888539999999999
337,25583,UTC,ELEC,AVBL,9001-9065 Genesee Ave,San Diego,CA,92122,888-758-4389,24 hours daily,Public, ,-117.213219600000002,32.870489999999997
338,25584,CUEV,ELEC,AVBL,9501 Jeronimo Rd,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.717028700000000,33.650175599999997
339,25606,UTC,ELEC,AVBL,8650 Genesee Ave,San Diego,CA,92122,888-758-4389,24 hours daily,Public, ,-117.215239999999994,32.868958300000003
340,25620,THE ARTISAN,ELEC,AVBL,"290-252,251-299 Cozumel",Laguna Beach,CA,92651,888-758-4389,24 hours daily,Public, ,-117.753501000000000,33.593614000000002
341,25660,IRVINE  CO  OFC,ELEC,AVBL,45 Parker,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.702527000000003,33.657601999999997
342,25701,450 B STREET IN,ELEC,AVBL,9920 pacific heights blvd,San Diego,CA,92121,888-758-4389,24 hours daily,Public, ,-117.190847000000005,32.900159000000002
343,25724,BLN,ELEC,AVBL,26033 Cape Dr,Laguna Niguel,CA,92677,888-758-4389,24 hours daily,Public, ,-117.675825000000003,33.559646999999998
344,25753,"ROF IV UTC, LLC",ELEC,AVBL,4180 La Jolla Village Dr,San Diego,CA,92121,888-758-4389,24 hours daily,Public, ,-117.210065999999998,32.873992200000004
345,25774,SOUTH TOWERS,ELEC,AVBL,5389 Scranton Rd,San Diego,CA,92121,888-758-4389,24 hours daily,Public, ,-117.202945000000000,32.890937999999998
346,25786,NORMREEVESHONDA,ELEC,AVBL,16 Auto Center Dr,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.721905000000007,33.631281000000001
347,25792,CCC,ELEC,AVBL,2870 Gateway Oaks Dr,Sacramento,CA,95833,888-758-4389,24 hours daily,Public, ,-121.521017000000001,38.621974399999999
348,25793,CCC,ELEC,AVBL,2890 Gateway Oaks,Sacramento,CA,95833,888-758-4389,24 hours daily,Public, ,-121.522437300000007,38.621186799999997
349,25795,IRVINE  CO  OFC,ELEC,AVBL,400 Spectrum Center Dr,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.745840999999999,33.653050999999998
350,25800,UCSD,ELEC,AVBL,3803 Miramar St N,San Diego,CA,92037,888-758-4389,24 hours daily,Public, ,-117.223834999999994,32.875602999999998
351,25816,UCSD,ELEC,AVBL,3835 Miramar St N,San Diego,CA,92037,888-758-4389,24 hours daily,Public, ,-117.223121899999995,32.875647499999999
352,25825,ORCHARD PARKING,ELEC,AVBL,23803 McBean Pkwy,Santa Clarita,CA,91355,888-758-4389,24 hours daily,Public, ,-118.552402999999998,34.397649000000001
353,25832,CITY HALL,ELEC,AVBL,58-74 Bridge St,West Sacramento,CA,95691,888-758-4389,24 hours daily,Public, ,-121.516112199999995,38.576750199999999
354,25833,CITY HALL,ELEC,AVBL,74 Bridge St,West Sacramento,CA,95691,888-758-4389,24 hours daily,Public, ,-121.516178499999995,38.576783200000001
355,25837,500 J SAWYER GA,ELEC,AVBL,1028 7th St,Sacramento,CA,95814,888-758-4389,24 hours daily,Public, ,-121.498904999999993,38.580891899999997
356,25850,MERGE,ELEC,AVBL,5550 Carmel Mountain Rd,San Diego,CA,92130,888-758-4389,24 hours daily,Public, ,-117.197542999999996,32.928902999999998
357,25879,UCSD,ELEC,AVBL,3803 Miramar St N,La Jolla,CA,92037,888-758-4389,24 hours daily,Public, ,-117.223878900000003,32.875514199999998
358,25887,MERGE,ELEC,AVBL,5500 Carmel Mountain Rd,San Diego,CA,92130,888-758-4389,24 hours daily,Public, ,-117.197654799999995,32.928803899999998
359,25888,BROADCOM,ELEC,AVBL,15101 Alton Pkwy,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.725262000000001,33.648234000000002
360,25889,BROADCOM,ELEC,AVBL,15191 Alton Pkwy,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.730763999999994,33.647843999999999
361,25913,HOAG HOSPITAL,ELEC,AVBL,Hospital Trail,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.771264700000003,33.661229800000001
362,25924,WELCOME CENTER,ELEC,AVBL,301 Stewart Rd,Lathrop,CA,95330,888-758-4389,24 hours daily,Public, ,-121.309828300000007,37.788365900000002
363,25936,CITYOFPATTERSON,ELEC,AVBL,315 W Las Palmas,Patterson,CA,95363,888-758-4389,24 hours daily,Public, ,-121.131035699999998,37.471518500000002
364,25991,DC CORRIDOR,ELEC,AVBL,1242 Dana Dr,Redding,CA,96003,888-758-4389,24 hours daily,Public, ,-122.348844900000003,40.586106600000001
365,26018,IRVINE  CO  OFC,ELEC,AVBL,15495 Sand Canyon Ave,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.766336999999993,33.669843999999998
366,26019,IRVINE  CO  OFC,ELEC,AVBL,9620 Towne Centre Dr,San Diego,CA,92121,888-758-4389,24 hours daily,Public, ,-117.210021999999995,32.881841000000001
367,26021,IRVINE  CO  OFC,ELEC,AVBL,15776 Laguna Canyon Rd,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.760982999999996,33.665432000000003
368,26026,IRVINE  CO  OFC,ELEC,AVBL,15485 Sand Canyon,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.766278000000000,33.669904000000002
369,26032,CLUBHOUSE,ELEC,AVBL,3340 McKinley Village Way,Sacramento,CA,95816,888-758-4389,24 hours daily,Public, ,-121.456550800000002,38.583371000000000
370,26035,UCSD,ELEC,AVBL,Osler Lane,San Diego,CA,92161,888-758-4389,24 hours daily,Public, ,-117.237859999999998,32.875066900000000
371,26060,BLIZZARD,ELEC,AVBL,1 Blizzard Way,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.767196600000005,33.659139300000000
372,26064,UCSD,ELEC,AVBL,304 Medical Center Dr,San Diego,CA,92037,888-758-4389,24 hours daily,Public, ,-117.225614399999998,32.880212899999997
373,26085,IRVINE  CO  OFC,ELEC,AVBL,4275 Executive Square,San Diego,CA,92037,888-758-4389,24 hours daily,Public, ,-117.214994000000004,32.873612999999999
374,26090,UCSD,ELEC,AVBL,Medical Center Dr,San Diego,CA,92037,888-758-4389,24 hours daily,Public, ,-117.221960199999998,32.879213700000001
375,26091,IRVINE  CO  OFC,ELEC,AVBL,15535 Sand Canyon,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.769718999999995,33.666435999999997
376,26128,IRVINE  CO  OFC,ELEC,AVBL,15485 Sand Canyon Ave,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.766763200000000,33.669735600000003
377,26137,114 PACIFICA,ELEC,AVBL,114 Pacifica,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.754288000000003,33.661288999999996
378,26140,ORCHARD PARKING,ELEC,AVBL,23839-23851 McBean Pkwy,Santa Clarita,CA,91355,888-758-4389,24 hours daily,Public, ,-118.553054799999998,34.397142700000003
379,26158,IRVINE  CO  OFC,ELEC,AVBL,3 Ada,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.737398999999996,33.654426999999998
380,26159,UCSD,ELEC,AVBL,304 Medical Center Dr,La Jolla,CA,92037,888-758-4389,24 hours daily,Public, ,-117.225927400000003,32.879716600000002
381,26184,DGS MAIN,ELEC,AVBL,1517 11th St,Sacramento,CA,95814,888-758-4389,24 hours daily,Public, ,-121.494575999999995,38.573779999999999
382,26187,SENDERO,ELEC,AVBL,1701 Gateway Pl,Rancho Mission Viejo,CA,92694,888-758-4389,24 hours daily,Public, ,-117.617217699999998,33.519189799999999
383,26196,UCSD,ELEC,AVBL,Pangea Parking Structure Scholars Dr N,San Diego,CA,92093,888-758-4389,24 hours daily,Public, ,-117.242910800000004,32.884051399999997
384,26198,HOAG   HOSPITAL,ELEC,AVBL,16305 Sand Canyon,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.774281000000002,33.662108000000003
385,26215,SPORTS CENTER,ELEC,AVBL,30 Terrace Rd,Ladera Ranch,CA,92694,888-758-4389,24 hours daily,Public, ,-117.627168999999995,33.556648000000003
386,26216,SDUHSD,ELEC,AVBL,155 Stevens Ave,Solana Beach,CA,92075,888-758-4389,24 hours daily,Public, ,-117.262476899999996,32.994685900000000
387,26219,SDUHSD,ELEC,AVBL,157 Stevens Ave,Solana Beach,CA,92075,888-758-4389,24 hours daily,Public, ,-117.262440900000001,32.994508799999998
388,26223,IRVINE  CO  OFC,ELEC,AVBL,22055-22083 Irvine Center Dr,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.748190699999995,33.654385599999998
389,26248,IRVINE  CO  OFC,ELEC,AVBL,250 Spectrum,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.747615600000003,33.652553699999999
390,26294,IRVINE  CO  OFC,ELEC,AVBL,15370 Barranca Pkwy,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.742046999999999,33.660971000000004
391,26298,CSU FULLERTON,ELEC,AVBL,3 Banting,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.760416199999995,33.659449199999997
392,26304,IRVINE  CO  OFC,ELEC,AVBL,46 Discovery,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.755482999999998,33.664822000000001
393,26306,EVSP WALGREENS,ELEC,AVBL,1420 Meadowview Rd,Sacramento,CA,95832,888-758-4389,24 hours daily,Public, ,-121.504221999999999,38.480752000000003
394,26308,EVSP WALGREENS,ELEC,AVBL,1401 Broadway,Sacramento,CA,95818,888-758-4389,24 hours daily,Public, ,-121.494284500000006,38.562456699999998
395,26309,EVSP WALGREENS,ELEC,AVBL,2900 Stockton Blvd,Sacramento,CA,95817,888-758-4389,24 hours daily,Public, ,-121.454897000000003,38.547788199999999
396,26312,HQ STATION 5,ELEC,AVBL,700 N 10th St,Sacramento,CA,95811,888-758-4389,24 hours daily,Public, ,-121.486031999999994,38.598118999999997
397,26367,CARLSBAD CA,ELEC,AVBL,6565 Alicante Rd,Carlsbad,CA,92009,888-758-4389,24 hours daily,Public, ,-117.263521499999996,33.117445799999999
398,26381,PUR,ELEC,AVBL,24555 Los Alisos Blvd,Laguna Hills,CA,92653,888-758-4389,24 hours daily,Public, ,-117.702186900000001,33.606662100000001
399,26399,IRVINE  CO  OFC,ELEC,AVBL,9191 Towne Center Dr,San Diego,CA,92122,888-758-4389,24 hours daily,Public, ,-117.206298000000004,32.873403000000003
400,26405,IRVINE  CO  OFC,ELEC,AVBL,38 Discovery,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.755502000000007,33.666434000000002
401,26431,IRVINE  CO  OFC,ELEC,AVBL,153 Technology Dr,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.745880000000000,33.663356000000000
402,26433,OLIVE PIT,ELEC,AVBL,2156 Solano St,Corning,CA,96021,888-758-4389,24 hours daily,Public, ,-122.197226499999999,39.928576499999998
403,26436,ARE - 10996,ELEC,AVBL,10996 Torreyana Rd,San Diego,CA,92121,888-758-4389,24 hours daily,Public, ,-117.239429999999999,32.904325999999998
404,26464,EVSP WALGREENS,ELEC,AVBL,25533 Marguerite Pkwy,Mission Viejo,CA,92692,888-758-4389,24 hours daily,Public, ,-117.660591800000006,33.592048200000001
405,26468,UCSD,ELEC,AVBL,3377 N Torrey Pines Ct,San Diego,CA,92037,888-758-4389,24 hours daily,Public, ,-117.241568000000001,32.892366000000003
406,26494,YAKS ON THE 5,ELEC,AVBL,4314 Pioneer Way,Dunsmuir,CA,96025,888-758-4389,24 hours daily,Public, ,-122.276218499999999,41.223041600000002
407,26507,OC PARKS,ELEC,AVBL,28373 Alicia Pkwy,Aliso Viejo,CA,92656,888-758-4389,24 hours daily,Public, ,-117.720047899999997,33.551332000000002
408,26516,CALPERS,ELEC,AVBL,400 Q St,Sacramento,CA,95811,888-758-4389,24 hours daily,Public, ,-121.504467800000000,38.574087400000003
409,26524,IRVINE  CO  OFC,ELEC,AVBL,4655 Executive Dr,San Diego,CA,92121,888-758-4389,24 hours daily,Public, ,-117.206104999999994,32.875815000000003
410,26540,LEGOLAND,ELEC,AVBL,1 Legoland Dr,Carlsbad,CA,92008,888-758-4389,24 hours daily,Public, ,-117.311054999999996,33.126176999999998
411,26550,58 DISCOVERY,ELEC,AVBL,58 Discovery,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.758789800000002,33.661342200000000
412,26629,IRVINE  CO  OFC,ELEC,AVBL,4770 Eastgate Mall,San Diego,CA,92121,888-758-4389,24 hours daily,Public, ,-117.203648999999999,32.881628999999997
413,26653,IRVINE  CO  OFC,ELEC,AVBL,15271 Laguna Canyon Rd,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.761752200000004,33.672251600000003
414,26712,SNG-18,ELEC,AVBL,500 R St,Sacramento,CA,95811,888-758-4389,24 hours daily,Public, ,-121.503397000000007,38.572757000000003
415,26716,IRVINE  CO  OFC,ELEC,AVBL,150 Spectrum Center Dr,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.746159000000006,33.649918999999997
416,26728,IRVINE  CO  OFC,ELEC,AVBL,22207 Irvine Center Dr,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.747340500000007,33.649641099999997
417,26796,SCRIPPS HEALTH,ELEC,AVBL,I-5,Encinitas,CA,92024,888-758-4389,24 hours daily,Public, ,-117.284180800000001,33.039095400000001
418,26849,IRVINE  CO  OFC,ELEC,AVBL,4225 Executive Square,San Diego,CA,92037,888-758-4389,24 hours daily,Public, ,-117.215675000000005,32.873811000000003
419,26854,BMW FACILITIES,ELEC,AVBL,1101 Runway Dr,Stockton,CA,95206,888-758-4389,24 hours daily,Public, ,-121.268014399999998,37.896020800000002
420,26855,IRVINE  CO  OFC,ELEC,AVBL,43 Discovery,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.756791000000007,33.666936999999997
421,26857,IRVINE  CO  OFC,ELEC,AVBL,6531 Irvine Center Dr,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.763816000000006,33.670465999999998
422,26864,IRVINE  CO  OFC,ELEC,AVBL,12680 High Bluff Dr,San Diego,CA,92130,888-758-4389,24 hours daily,Public, ,-117.241850999999997,32.948940600000000
423,26901,CITY HALL,ELEC,AVBL,1110 West Capitol Ave,West Sacramento,CA,95691,888-758-4389,24 hours daily,Public, ,-121.523507899999998,38.582059000000001
424,26928,IRVINE  CO  OFC,ELEC,AVBL,4365 Executive Dr,San Diego,CA,92122,888-758-4389,24 hours daily,Public, ,-117.211804000000001,32.874710999999998
425,26939,DGS MAIN,ELEC,AVBL,800 Q St,Sacramento,CA,95814,888-758-4389,24 hours daily,Public, ,-121.499385000000004,38.572992999999997
426,26940,DGS MAIN,ELEC,AVBL,1615 Capitol Ave,Sacramento,CA,95814,888-758-4389,24 hours daily,Public, ,-121.486295999999996,38.575074999999998
427,26942,DGS MAIN,ELEC,AVBL,1500 Capitol Ave,Sacramento,CA,95814,888-758-4389,24 hours daily,Public, ,-121.488112999999998,38.574792000000002
428,26943,DGS MAIN,ELEC,AVBL,1430 N St.,Sacramento,CA,95814,888-758-4389,24 hours daily,Public, ,-121.489142000000001,38.573858000000001
429,26944,DGS MAIN,ELEC,AVBL,1421 15th St,Sacramento,CA,95814,888-758-4389,24 hours daily,Public, ,-121.488964999999993,38.573572800000001
430,26950,DGS MAIN,ELEC,AVBL,1501 Capitol Ave,Sacramento,CA,95814,888-758-4389,24 hours daily,Public, ,-121.487039499999995,38.575755500000000
431,26987,SACRAMENTO,ELEC,AVBL,312 K St,Sacramento,CA,95814,888-758-4389,24 hours daily,Public, ,-121.502604000000005,38.581108999999998
432,26994,SACRAMENTO,ELEC,AVBL,414 J St,Sacramento,CA,95814,888-758-4389,24 hours daily,Public, ,-121.500957999999997,38.582118000000001
433,27029,DGS MAIN,ELEC,AVBL,1500 10th Street,Sacramento,CA,95814,888-758-4389,24 hours daily,Public, ,-121.496061999999995,38.574855999999997
434,27030,DGS MAIN,ELEC,AVBL,1517 13th St,Sacramento,CA,95814,888-758-4389,24 hours daily,Public, ,-121.491641999999999,38.572907000000001
435,27031,DGS MAIN,ELEC,AVBL,707 3rd St,West Sacramento,CA,95605,888-758-4389,24 hours daily,Public, ,-121.510851000000002,38.583376999999999
436,27037,ESQUIRE PLAZA,ELEC,AVBL,1074-1098 13th St,Sacramento,CA,95814,888-758-4389,24 hours daily,Public, ,-121.489187999999999,38.579732000000000
437,28501,DC CORRIDOR,ELEC,AVBL,73 Frazier Mountain Park Rd,Lebec,CA,93243,888-758-4389,24 hours daily,Public, ,-118.883184000000000,34.818390999999998
438,28583,SALT,ELEC,AVBL,313N N Cleveland St,Oceanside,CA,92054,888-758-4389,24 hours daily,Public, ,-117.382610099999994,33.195852299999999
439,28605,ONE PASEO,ELEC,AVBL,12845 Paseo Village Way,San Diego,CA,92130,888-758-4389,24 hours daily,Public, ,-117.236653799999999,32.950944900000003
440,28716,NCTD-Oceanside Transit Center,ELEC,AVBL,235 South Tremont Street,Oceanside,CA,92054,888-998-2546,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Public, ,-117.378693999999996,33.192667000000000
441,28734,TPS NATOMAS,ELEC,AVBL,4090 E Commerce Way,Sacramento,CA,95834,888-758-4389,24 hours daily,Public, ,-121.519109000000000,38.642847000000003
442,28926,SACRAMENTO,ELEC,AVBL,South Area Corporate Yard (SACY) 5730 24th Street,Sacramento,CA,95822,888-758-4389,24 hours daily,Public, ,-121.484468500000006,38.520302500000000
443,28930,SACRAMENTO,ELEC,AVBL,Capitol Garage 1303 10th Street,Sacramento,CA,95814,888-758-4389,24 hours daily,Public, ,-121.493131099999999,38.578151400000003
444,28931,SACRAMENTO,ELEC,AVBL,Memorial Garage 801 14th St,Sacramento,CA,95814,888-758-4389,24 hours daily,Public, ,-121.486093199999999,38.580221500000000
445,28932,SACRAMENTO,ELEC,AVBL,Old Sacramento Garage 125 I Street,Sacramento,CA,95814,888-758-4389,24 hours daily,Public, ,-121.502911299999994,38.583701200000000
446,28933,SACRAMENTO,ELEC,AVBL,Tower Bridge Garage 1289 Front Street,Sacramento,CA,95814,888-758-4389,24 hours daily,Public, ,-121.506200000000007,38.580844999999997
447,28934,SACRAMENTO,ELEC,AVBL,City Hall Garage  939 10th Street,Sacramento,CA,95814,888-758-4389,24 hours daily,Public, ,-121.493003999999999,38.580975000000002
